Datetime,Site,Energy_Type,Energy_Generated_MWh,Capacity_Utilization_%,Temperature_C,Cloud_Cover_%,Wind_Speed_m_s,Day_Type,Season
2023-01-06 07:15:00,Site_C,Wind,26.73,26.73,7.4,,4.06,Weekday,Winter
2023-01-07 10:15:00,Site_A,Solar,35.72,35.72,31.28,68.82,,Weekend,Winter
2023-01-07 12:45:00,Site_A,Wind,42.73,42.73,21.62,,7.51,Weekend,Winter
2023-01-07 17:30:00,Site_B,Solar,15.96,15.96,20.5,98.6,,Weekend,Winter
2023-01-07 18:30:00,Site_B,Wind,47.69,47.69,7.07,,10.12,Weekend,Winter
2023-01-07 08:45:00,Site_C,Solar,32.28,32.28,26.75,76.7,,Weekend,Winter
2023-01-07 08:30:00,Site_C,Wind,32.0,32.0,9.09,,9.26,Weekend,Winter
2023-01-08 08:45:00,Site_A,Solar,19.02,19.02,25.51,94.2,,Weekend,Winter
2023-01-08 12:00:00,Site_A,Wind,32.09,32.09,11.62,,8.86,Weekend,Winter
2023-01-08 12:30:00,Site_B,Solar,57.51,57.51,16.09,21.62,,Weekend,Winter
2023-01-08 15:15:00,Site_B,Wind,27.83,27.83,-0.61,,6.21,Weekend,Winter
2023-01-08 16:00:00,Site_C,Solar,26.35,26.35,26.13,77.15,,Weekend,Winter
2023-01-08 18:15:00,Site_C,Wind,14.17,14.17,11.07,,4.83,Weekend,Winter
2023-01-09 08:00:00,Site_A,Solar,74.83,74.83,22.23,2.02,,Weekday,Winter
2023-01-09 14:15:00,Site_A,Wind,60.17,60.17,19.87,,10.08,Weekday,Winter
2023-01-09 18:15:00,Site_B,Solar,43.56,43.56,30.87,67.08,,Weekday,Winter
2023-01-09 11:45:00,Site_B,Wind,45.63,45.63,13.09,,7.1,Weekday,Winter
2023-01-09 13:30:00,Site_C,Solar,48.42,48.42,23.3,46.93,,Weekday,Winter
2023-01-09 11:30:00,Site_C,Wind,36.08,36.08,18.5,,7.83,Weekday,Winter
2023-01-10 09:00:00,Site_A,Solar,51.83,51.83,18.22,34.68,,Weekday,Winter
2023-01-10 09:45:00,Site_A,Wind,14.14,14.14,16.56,,7.6,Weekday,Winter
2023-01-10 17:00:00,Site_B,Solar,29.92,29.92,27.76,86.24,,Weekday,Winter
2023-01-10 13:15:00,Site_B,Wind,45.84,45.84,19.76,,9.34,Weekday,Winter
2023-01-10 07:45:00,Site_C,Solar,15.78,15.78,15.32,85.43,,Weekday,Winter
2023-01-10 12:00:00,Site_C,Wind,41.72,41.72,9.67,,11.69,Weekday,Winter
2023-01-11 06:15:00,Site_A,Solar,78.91,78.91,20.61,2.23,,Weekday,Winter
2023-01-11 13:30:00,Site_A,Wind,51.09,51.09,15.7,,10.92,Weekday,Winter
2023-01-11 15:30:00,Site_B,Solar,45.36,45.36,27.4,60.95,,Weekday,Winter
2023-01-11 18:00:00,Site_B,Wind,16.09,16.09,25.48,,3.34,Weekday,Winter
2023-01-11 09:45:00,Site_C,Solar,54.36,54.36,22.53,36.78,,Weekday,Winter
2023-01-11 08:15:00,Site_C,Wind,41.4,41.4,11.52,,7.38,Weekday,Winter
2023-01-12 07:30:00,Site_A,Solar,66.77,66.77,30.75,41.57,,Weekday,Winter
2023-01-12 11:45:00,Site_A,Wind,23.29,23.29,17.08,,5.31,Weekday,Winter
2023-01-12 08:30:00,Site_B,Solar,25.86,25.86,31.34,83.2,,Weekday,Winter
2023-01-12 15:30:00,Site_B,Wind,38.34,38.34,17.02,,9.88,Weekday,Winter
2023-01-12 17:45:00,Site_C,Solar,59.64,59.64,19.21,30.98,,Weekday,Winter
2023-01-12 14:00:00,Site_C,Wind,50.42,50.42,5.67,,8.01,Weekday,Winter
2023-01-13 10:00:00,Site_A,Solar,2.16,2.16,17.24,94.3,,Weekday,Winter
2023-01-13 15:00:00,Site_A,Wind,37.91,37.91,19.63,,9.21,Weekday,Winter
2023-01-13 06:00:00,Site_B,Solar,76.71,76.71,30.94,17.96,,Weekday,Winter
2023-01-13 18:15:00,Site_B,Wind,19.73,19.73,27.95,,7.21,Weekday,Winter
2023-01-13 18:30:00,Site_C,Solar,42.35,42.35,29.22,66.27,,Weekday,Winter
2023-01-13 13:30:00,Site_C,Wind,32.5,32.5,23.14,,5.92,Weekday,Winter
2023-01-14 07:15:00,Site_A,Solar,37.45,37.45,22.1,67.21,,Weekend,Winter
2023-01-14 09:00:00,Site_A,Wind,28.1,28.1,6.91,,6.26,Weekend,Winter
2023-01-14 14:15:00,Site_B,Solar,69.81,69.81,29.25,25.22,,Weekend,Winter
2023-01-14 13:30:00,Site_B,Wind,16.48,16.48,17.92,,4.93,Weekend,Winter
2023-01-14 10:15:00,Site_C,Solar,53.95,53.95,25.54,32.48,,Weekend,Winter
2023-01-14 12:45:00,Site_C,Wind,25.85,25.85,17.71,,5.47,Weekend,Winter
2023-01-15 14:30:00,Site_A,Solar,30.23,30.23,26.62,83.48,,Weekend,Winter
2023-01-15 09:15:00,Site_A,Wind,25.38,25.38,23.99,,5.05,Weekend,Winter
2023-01-15 14:30:00,Site_B,Solar,43.69,43.69,31.47,76.18,,Weekend,Winter
2023-01-15 11:00:00,Site_B,Wind,32.41,32.41,18.81,,5.93,Weekend,Winter
2023-01-15 17:30:00,Site_C,Solar,69.49,69.49,29.23,32.91,,Weekend,Winter
2023-01-15 08:00:00,Site_C,Wind,30.44,30.44,18.6,,5.82,Weekend,Winter
2023-01-16 07:00:00,Site_A,Solar,54.61,54.61,22.69,53.4,,Weekday,Winter
2023-01-16 12:30:00,Site_A,Wind,40.03,40.03,20.3,,8.79,Weekday,Winter
2023-01-16 16:15:00,Site_B,Solar,77.1,77.1,18.03,6.17,,Weekday,Winter
2023-01-16 16:30:00,Site_B,Wind,45.53,45.53,22.38,,8.71,Weekday,Winter
2023-01-16 14:30:00,Site_C,Solar,68.11,68.11,19.03,20.87,,Weekday,Winter
2023-01-16 13:00:00,Site_C,Wind,46.62,46.62,17.0,,8.79,Weekday,Winter
2023-01-17 12:00:00,Site_A,Solar,46.55,46.55,20.77,48.58,,Weekday,Winter
2023-01-17 06:45:00,Site_A,Wind,54.78,54.78,18.87,,10.35,Weekday,Winter
2023-01-17 10:00:00,Site_B,Solar,81.33,81.33,24.83,8.6,,Weekday,Winter
2023-01-17 15:30:00,Site_B,Wind,44.27,44.27,3.84,,7.84,Weekday,Winter
2023-01-17 11:30:00,Site_C,Solar,35.39,35.39,27.1,84.33,,Weekday,Winter
2023-01-17 10:30:00,Site_C,Wind,33.75,33.75,10.95,,6.44,Weekday,Winter
2023-01-18 18:30:00,Site_A,Solar,33.66,33.66,29.41,71.8,,Weekday,Winter
2023-01-18 06:30:00,Site_A,Wind,63.42,63.42,15.01,,12.42,Weekday,Winter
2023-01-18 12:30:00,Site_B,Solar,18.7,18.7,26.98,94.36,,Weekday,Winter
2023-01-18 10:30:00,Site_B,Wind,45.27,45.27,8.3,,9.81,Weekday,Winter
2023-01-18 18:15:00,Site_C,Solar,31.9,31.9,22.05,69.35,,Weekday,Winter
2023-01-18 08:45:00,Site_C,Wind,34.28,34.28,11.79,,8.3,Weekday,Winter
2023-01-19 10:45:00,Site_A,Solar,11.45,11.45,29.28,94.04,,Weekday,Winter
2023-01-19 14:00:00,Site_A,Wind,52.65,52.65,26.74,,8.17,Weekday,Winter
2023-01-19 09:15:00,Site_B,Solar,39.71,39.71,20.97,55.45,,Weekday,Winter
2023-01-19 14:45:00,Site_B,Wind,29.18,29.18,22.54,,8.58,Weekday,Winter
2023-01-19 07:15:00,Site_C,Solar,33.03,33.03,14.15,60.02,,Weekday,Winter
2023-01-19 06:30:00,Site_C,Wind,42.93,42.93,6.64,,7.6,Weekday,Winter
2023-01-20 09:45:00,Site_A,Solar,10.93,10.93,20.21,97.7,,Weekday,Winter
2023-01-20 13:45:00,Site_A,Wind,30.99,30.99,5.53,,8.26,Weekday,Winter
2023-01-20 17:45:00,Site_B,Solar,25.05,25.05,17.08,64.21,,Weekday,Winter
2023-01-20 11:00:00,Site_B,Wind,63.25,63.25,17.89,,9.0,Weekday,Winter
2023-01-20 09:00:00,Site_C,Solar,74.72,74.72,23.93,3.08,,Weekday,Winter
2023-01-20 09:00:00,Site_C,Wind,19.72,19.72,17.66,,6.55,Weekday,Winter
2023-01-21 07:00:00,Site_A,Solar,36.24,36.24,28.45,72.38,,Weekend,Winter
2023-01-21 15:45:00,Site_A,Wind,30.22,30.22,16.86,,4.73,Weekend,Winter
2023-01-21 14:30:00,Site_B,Solar,33.2,33.2,28.29,90.55,,Weekend,Winter
2023-01-21 12:15:00,Site_B,Wind,17.54,17.54,14.51,,3.85,Weekend,Winter
2023-01-21 11:15:00,Site_C,Solar,22.24,22.24,19.07,79.56,,Weekend,Winter
2023-01-21 15:45:00,Site_C,Wind,38.63,38.63,22.4,,9.78,Weekend,Winter
2023-01-22 16:15:00,Site_A,Solar,46.63,46.63,22.05,58.38,,Weekend,Winter
2023-01-22 18:00:00,Site_A,Wind,23.59,23.59,8.45,,4.83,Weekend,Winter
2023-01-22 10:15:00,Site_B,Solar,36.93,36.93,24.11,67.13,,Weekend,Winter
2023-01-22 06:45:00,Site_B,Wind,48.12,48.12,8.61,,8.93,Weekend,Winter
2023-01-22 10:15:00,Site_C,Solar,15.11,15.11,22.91,99.02,,Weekend,Winter
2023-01-22 15:45:00,Site_C,Wind,27.33,27.33,17.41,,5.69,Weekend,Winter
2023-01-23 16:15:00,Site_A,Solar,87.0,87.0,26.74,9.07,,Weekday,Winter
2023-01-23 12:15:00,Site_A,Wind,15.77,15.77,8.72,,5.72,Weekday,Winter
2023-01-23 09:00:00,Site_B,Solar,36.91,36.91,22.56,66.72,,Weekday,Winter
2023-01-23 08:00:00,Site_B,Wind,36.06,36.06,22.52,,6.56,Weekday,Winter
2023-01-23 17:45:00,Site_C,Solar,65.58,65.58,27.48,28.34,,Weekday,Winter
2023-01-23 17:15:00,Site_C,Wind,46.88,46.88,29.53,,8.39,Weekday,Winter
2023-01-24 15:15:00,Site_A,Solar,49.41,49.41,30.9,64.01,,Weekday,Winter
2023-01-24 07:30:00,Site_A,Wind,35.98,35.98,23.01,,5.42,Weekday,Winter
2023-01-24 17:30:00,Site_B,Solar,34.97,34.97,18.06,60.76,,Weekday,Winter
2023-01-24 15:00:00,Site_B,Wind,32.11,32.11,20.35,,6.77,Weekday,Winter
2023-01-24 12:00:00,Site_C,Solar,76.68,76.68,24.73,15.35,,Weekday,Winter
2023-01-24 07:30:00,Site_C,Wind,38.17,38.17,11.14,,7.95,Weekday,Winter
2023-01-25 08:00:00,Site_A,Solar,63.76,63.76,25.84,20.67,,Weekday,Winter
2023-01-25 11:45:00,Site_A,Wind,34.8,34.8,21.62,,5.58,Weekday,Winter
2023-01-25 09:15:00,Site_B,Solar,34.82,34.82,27.5,62.16,,Weekday,Winter
2023-01-25 08:45:00,Site_B,Wind,57.51,57.51,8.85,,10.86,Weekday,Winter
2023-01-25 12:15:00,Site_C,Solar,92.43,92.43,28.71,12.82,,Weekday,Winter
2023-01-25 10:30:00,Site_C,Wind,27.02,27.02,10.54,,4.55,Weekday,Winter
2023-01-26 10:00:00,Site_A,Solar,64.05,64.05,26.08,26.52,,Weekday,Winter
2023-01-26 11:00:00,Site_A,Wind,34.19,34.19,12.88,,7.56,Weekday,Winter
2023-01-26 14:45:00,Site_B,Solar,27.3,27.3,23.91,83.52,,Weekday,Winter
2023-01-26 17:15:00,Site_B,Wind,52.58,52.58,20.36,,10.55,Weekday,Winter
2023-01-26 06:30:00,Site_C,Solar,60.68,60.68,19.8,32.71,,Weekday,Winter
2023-01-26 18:15:00,Site_C,Wind,38.35,38.35,28.62,,5.35,Weekday,Winter
2023-01-27 08:15:00,Site_A,Solar,48.3,48.3,15.89,48.81,,Weekday,Winter
2023-01-27 14:15:00,Site_A,Wind,29.65,29.65,10.82,,7.78,Weekday,Winter
2023-01-27 13:15:00,Site_B,Solar,21.05,21.05,26.85,94.11,,Weekday,Winter
2023-01-27 11:15:00,Site_B,Wind,45.29,45.29,19.09,,8.27,Weekday,Winter
2023-01-27 12:30:00,Site_C,Solar,76.19,76.19,24.5,22.71,,Weekday,Winter
2023-01-27 18:15:00,Site_C,Wind,34.82,34.82,14.6,,6.39,Weekday,Winter
2023-01-28 16:45:00,Site_A,Solar,56.36,56.36,27.05,38.96,,Weekend,Winter
2023-01-28 18:00:00,Site_A,Wind,42.73,42.73,13.38,,7.85,Weekend,Winter
2023-01-28 13:30:00,Site_B,Solar,58.61,58.61,31.97,60.65,,Weekend,Winter
2023-01-28 09:30:00,Site_B,Wind,43.58,43.58,20.88,,9.12,Weekend,Winter
2023-01-28 12:00:00,Site_C,Solar,32.98,32.98,29.36,75.53,,Weekend,Winter
2023-01-28 17:00:00,Site_C,Wind,35.09,35.09,8.24,,7.07,Weekend,Winter
2023-01-29 15:00:00,Site_A,Solar,18.23,18.23,24.6,90.17,,Weekend,Winter
2023-01-29 12:45:00,Site_A,Wind,54.27,54.27,12.9,,9.53,Weekend,Winter
2023-01-29 07:15:00,Site_B,Solar,12.67,12.67,19.97,91.55,,Weekend,Winter
2023-01-29 17:30:00,Site_B,Wind,54.29,54.29,17.52,,8.79,Weekend,Winter
2023-01-29 15:30:00,Site_C,Solar,30.42,30.42,22.31,77.66,,Weekend,Winter
2023-01-29 06:30:00,Site_C,Wind,39.73,39.73,19.59,,6.83,Weekend,Winter
2023-01-30 11:00:00,Site_A,Solar,67.12,67.12,19.65,22.83,,Weekday,Winter
2023-01-30 10:00:00,Site_A,Wind,58.06,58.06,27.03,,10.25,Weekday,Winter
2023-01-30 11:30:00,Site_B,Solar,77.24,77.24,20.52,2.48,,Weekday,Winter
2023-01-30 07:15:00,Site_B,Wind,24.78,24.78,16.54,,6.52,Weekday,Winter
2023-01-30 14:30:00,Site_C,Solar,59.71,59.71,28.96,38.38,,Weekday,Winter
2023-01-30 15:15:00,Site_C,Wind,55.96,55.96,11.01,,9.71,Weekday,Winter
2023-01-31 09:30:00,Site_A,Solar,70.52,70.52,29.26,14.15,,Weekday,Winter
2023-01-31 10:00:00,Site_A,Wind,16.75,16.75,6.4,,6.55,Weekday,Winter
2023-01-31 10:30:00,Site_B,Solar,43.65,43.65,32.26,71.04,,Weekday,Winter
2023-01-31 07:15:00,Site_B,Wind,43.6,43.6,15.1,,7.37,Weekday,Winter
2023-01-31 09:45:00,Site_C,Solar,40.64,40.64,22.02,66.11,,Weekday,Winter
2023-01-31 07:15:00,Site_C,Wind,30.74,30.74,12.91,,7.67,Weekday,Winter
2023-02-01 12:45:00,Site_A,Solar,80.06,80.06,29.04,4.4,,Weekday,Winter
2023-02-01 18:00:00,Site_A,Wind,37.91,37.91,10.91,,8.68,Weekday,Winter
2023-02-01 06:00:00,Site_B,Solar,20.72,20.72,21.25,83.66,,Weekday,Winter
2023-02-01 15:15:00,Site_B,Wind,13.17,13.17,13.45,,3.17,Weekday,Winter
2023-02-01 16:00:00,Site_C,Solar,62.32,62.32,19.12,24.87,,Weekday,Winter
2023-02-01 15:15:00,Site_C,Wind,55.85,55.85,27.74,,8.92,Weekday,Winter
2023-02-02 10:15:00,Site_A,Solar,51.61,51.61,22.17,43.22,,Weekday,Winter
2023-02-02 17:00:00,Site_A,Wind,46.5,46.5,20.82,,7.8,Weekday,Winter
2023-02-02 10:45:00,Site_B,Solar,42.57,42.57,26.05,66.79,,Weekday,Winter
2023-02-02 12:30:00,Site_B,Wind,37.17,37.17,8.11,,8.57,Weekday,Winter
2023-02-02 18:00:00,Site_C,Solar,58.13,58.13,24.97,42.94,,Weekday,Winter
2023-02-02 18:45:00,Site_C,Wind,49.6,49.6,20.49,,9.0,Weekday,Winter
2023-02-03 07:45:00,Site_A,Solar,53.17,53.17,24.06,44.13,,Weekday,Winter
2023-02-03 07:15:00,Site_A,Wind,45.34,45.34,23.35,,8.79,Weekday,Winter
2023-02-03 12:45:00,Site_B,Solar,85.23,85.23,30.11,6.56,,Weekday,Winter
2023-02-03 09:00:00,Site_B,Wind,11.21,11.21,21.43,,3.99,Weekday,Winter
2023-02-03 09:15:00,Site_C,Solar,66.43,66.43,22.7,40.14,,Weekday,Winter
2023-02-03 07:45:00,Site_C,Wind,37.84,37.84,7.44,,5.88,Weekday,Winter
2023-02-04 16:30:00,Site_A,Solar,31.03,31.03,21.93,76.48,,Weekend,Winter
2023-02-04 18:00:00,Site_A,Wind,40.11,40.11,16.37,,8.67,Weekend,Winter
2023-02-04 07:45:00,Site_B,Solar,23.21,23.21,27.73,91.52,,Weekend,Winter
2023-02-04 11:45:00,Site_B,Wind,32.63,32.63,-0.2,,8.4,Weekend,Winter
2023-02-04 07:15:00,Site_C,Solar,58.36,58.36,24.96,41.35,,Weekend,Winter
2023-02-04 16:00:00,Site_C,Wind,34.79,34.79,16.11,,6.42,Weekend,Winter
2023-02-05 12:00:00,Site_A,Solar,52.93,52.93,23.61,42.36,,Weekend,Winter
2023-02-05 14:00:00,Site_A,Wind,47.64,47.64,24.04,,9.48,Weekend,Winter
2023-02-05 07:45:00,Site_B,Solar,36.44,36.44,27.11,70.26,,Weekend,Winter
2023-02-05 09:00:00,Site_B,Wind,33.5,33.5,24.17,,7.49,Weekend,Winter
2023-02-05 06:30:00,Site_C,Solar,14.04,14.04,23.92,94.28,,Weekend,Winter
2023-02-05 12:15:00,Site_C,Wind,40.68,40.68,21.56,,9.77,Weekend,Winter
2023-02-06 09:45:00,Site_A,Solar,70.97,70.97,33.18,26.71,,Weekday,Winter
2023-02-06 07:00:00,Site_A,Wind,47.1,47.1,24.18,,10.42,Weekday,Winter
2023-02-06 12:15:00,Site_B,Solar,54.18,54.18,19.54,44.01,,Weekday,Winter
2023-02-06 07:15:00,Site_B,Wind,37.85,37.85,13.22,,8.56,Weekday,Winter
2023-02-06 09:45:00,Site_C,Solar,17.38,17.38,23.27,79.6,,Weekday,Winter
2023-02-06 16:30:00,Site_C,Wind,47.88,47.88,18.42,,9.11,Weekday,Winter
2023-02-07 17:30:00,Site_A,Solar,48.87,48.87,28.43,60.97,,Weekday,Winter
2023-02-07 08:30:00,Site_A,Wind,41.65,41.65,9.13,,6.78,Weekday,Winter
2023-02-07 09:00:00,Site_B,Solar,78.43,78.43,25.34,11.06,,Weekday,Winter
2023-02-07 06:30:00,Site_B,Wind,39.78,39.78,0.86,,9.78,Weekday,Winter
2023-02-07 10:30:00,Site_C,Solar,44.28,44.28,32.21,62.77,,Weekday,Winter
2023-02-07 14:00:00,Site_C,Wind,47.0,47.0,11.41,,8.44,Weekday,Winter
2023-02-08 15:30:00,Site_A,Solar,79.51,79.51,25.28,18.67,,Weekday,Winter
2023-02-08 14:00:00,Site_A,Wind,27.91,27.91,12.83,,7.41,Weekday,Winter
2023-02-08 14:15:00,Site_B,Solar,56.08,56.08,30.73,51.02,,Weekday,Winter
2023-02-08 10:15:00,Site_B,Wind,23.36,23.36,-4.86,,5.56,Weekday,Winter
2023-02-08 07:45:00,Site_C,Solar,43.76,43.76,24.92,52.91,,Weekday,Winter
2023-02-08 08:00:00,Site_C,Wind,35.43,35.43,14.26,,7.03,Weekday,Winter
2023-02-09 12:45:00,Site_A,Solar,20.73,20.73,22.73,87.62,,Weekday,Winter
2023-02-09 08:45:00,Site_A,Wind,12.7,12.7,27.08,,5.78,Weekday,Winter
2023-02-09 10:00:00,Site_B,Solar,49.19,49.19,20.56,46.25,,Weekday,Winter
2023-02-09 16:30:00,Site_B,Wind,50.22,50.22,20.4,,9.52,Weekday,Winter
2023-02-09 14:30:00,Site_C,Solar,70.96,70.96,26.78,27.94,,Weekday,Winter
2023-02-09 07:00:00,Site_C,Wind,47.62,47.62,23.83,,10.44,Weekday,Winter
2023-02-10 06:45:00,Site_A,Solar,57.55,57.55,21.66,23.1,,Weekday,Winter
2023-02-10 16:15:00,Site_A,Wind,45.78,45.78,9.87,,9.83,Weekday,Winter
2023-02-10 08:45:00,Site_B,Solar,32.81,32.81,30.48,87.43,,Weekday,Winter
2023-02-10 08:45:00,Site_B,Wind,64.24,64.24,17.98,,12.97,Weekday,Winter
2023-02-10 10:00:00,Site_C,Solar,69.56,69.56,17.28,17.1,,Weekday,Winter
2023-02-10 08:45:00,Site_C,Wind,24.99,24.99,11.22,,7.08,Weekday,Winter
2023-02-11 11:45:00,Site_A,Solar,61.18,61.18,26.93,42.59,,Weekend,Winter
2023-02-11 13:45:00,Site_A,Wind,47.94,47.94,20.86,,9.19,Weekend,Winter
2023-02-11 06:45:00,Site_B,Solar,66.72,66.72,21.6,18.72,,Weekend,Winter
2023-02-11 12:00:00,Site_B,Wind,36.76,36.76,-5.4,,5.64,Weekend,Winter
2023-02-11 18:00:00,Site_C,Solar,34.69,34.69,27.62,77.33,,Weekend,Winter
2023-02-11 13:15:00,Site_C,Wind,30.18,30.18,6.46,,7.61,Weekend,Winter
2023-02-12 09:45:00,Site_A,Solar,46.61,46.61,14.91,47.44,,Weekend,Winter
2023-02-12 13:30:00,Site_A,Wind,23.32,23.32,-4.83,,5.05,Weekend,Winter
2023-02-12 07:30:00,Site_B,Solar,64.68,64.68,29.07,35.11,,Weekend,Winter
2023-02-12 08:00:00,Site_B,Wind,38.79,38.79,15.9,,9.14,Weekend,Winter
2023-02-12 10:15:00,Site_C,Solar,58.33,58.33,23.87,36.11,,Weekend,Winter
2023-02-12 17:30:00,Site_C,Wind,28.88,28.88,24.72,,7.29,Weekend,Winter
2023-02-13 13:30:00,Site_A,Solar,27.68,27.68,28.19,85.22,,Weekday,Winter
2023-02-13 10:00:00,Site_A,Wind,19.7,19.7,26.31,,3.89,Weekday,Winter
2023-02-13 14:15:00,Site_B,Solar,42.3,42.3,18.04,55.38,,Weekday,Winter
2023-02-13 16:45:00,Site_B,Wind,21.9,21.9,14.76,,6.63,Weekday,Winter
2023-02-13 12:45:00,Site_C,Solar,31.68,31.68,16.92,71.79,,Weekday,Winter
2023-02-13 09:30:00,Site_C,Wind,66.22,66.22,13.39,,11.59,Weekday,Winter
2023-02-14 10:15:00,Site_A,Solar,20.03,20.03,23.76,89.7,,Weekday,Winter
2023-02-14 14:15:00,Site_A,Wind,45.13,45.13,19.39,,8.82,Weekday,Winter
2023-02-14 09:15:00,Site_B,Solar,23.64,23.64,25.23,90.17,,Weekday,Winter
2023-02-14 16:00:00,Site_B,Wind,48.37,48.37,19.36,,9.54,Weekday,Winter
2023-02-14 06:00:00,Site_C,Solar,68.54,68.54,28.52,32.85,,Weekday,Winter
2023-02-14 14:30:00,Site_C,Wind,38.15,38.15,30.08,,8.25,Weekday,Winter
2023-02-15 09:45:00,Site_A,Solar,12.94,12.94,23.42,95.25,,Weekday,Winter
2023-02-15 15:45:00,Site_A,Wind,41.63,41.63,8.41,,7.64,Weekday,Winter
2023-02-15 11:30:00,Site_B,Solar,76.86,76.86,26.23,2.49,,Weekday,Winter
2023-02-15 07:45:00,Site_B,Wind,45.1,45.1,9.38,,8.03,Weekday,Winter
2023-02-15 06:30:00,Site_C,Solar,69.65,69.65,32.41,37.68,,Weekday,Winter
2023-02-15 09:45:00,Site_C,Wind,36.19,36.19,13.02,,8.49,Weekday,Winter
2023-02-16 13:30:00,Site_A,Solar,26.57,26.57,22.17,89.58,,Weekday,Winter
2023-02-16 10:00:00,Site_A,Wind,26.24,26.24,11.7,,5.81,Weekday,Winter
2023-02-16 18:45:00,Site_B,Solar,67.18,67.18,28.59,27.46,,Weekday,Winter
2023-02-16 07:45:00,Site_B,Wind,42.42,42.42,13.9,,9.53,Weekday,Winter
2023-02-16 10:30:00,Site_C,Solar,64.91,64.91,21.79,27.31,,Weekday,Winter
2023-02-16 11:45:00,Site_C,Wind,48.07,48.07,26.66,,10.24,Weekday,Winter
2023-02-17 07:00:00,Site_A,Solar,52.35,52.35,20.72,30.26,,Weekday,Winter
2023-02-17 09:45:00,Site_A,Wind,40.78,40.78,15.25,,7.61,Weekday,Winter
2023-02-17 10:00:00,Site_B,Solar,43.94,43.94,28.26,61.23,,Weekday,Winter
2023-02-17 14:15:00,Site_B,Wind,43.44,43.44,3.58,,6.95,Weekday,Winter
2023-02-17 12:15:00,Site_C,Solar,58.26,58.26,27.4,43.83,,Weekday,Winter
2023-02-17 16:45:00,Site_C,Wind,34.73,34.73,7.61,,6.52,Weekday,Winter
