,datetime,year,month,day,hour,day_of_week,site,energy_type,energy_generated_mwh,capacity_utilization_%,temperature_c,cloud_cover_%,wind_speed_m_s,day_type,season,quarter,days
40,2023-01-07 17:30:00,2023,1,7,17,Saturday,Site_B,Solar,15.96,15.96,20.5,98.6,0.0,Weekend,Winter,1,7
41,2023-01-07 18:30:00,2023,1,7,18,Saturday,Site_B,Wind,47.69,47.69,7.07,96.4,10.12,Weekend,Winter,1,7
42,2023-01-08 08:45:00,2023,1,8,8,Sunday,Site_A,Solar,19.02,19.02,25.51,94.2,0.0,Weekend,Winter,1,8
43,2023-01-08 12:00:00,2023,1,8,12,Sunday,Site_A,Wind,32.09,32.09,11.62,57.91,8.86,Weekend,Winter,1,8
44,2023-01-08 12:30:00,2023,1,8,12,Sunday,Site_B,Solar,57.51,57.51,16.09,21.62,0.0,Weekend,Winter,1,8
45,2023-01-08 15:15:00,2023,1,8,15,Sunday,Site_B,Wind,27.83,27.83,-0.61,49.385000000000005,6.21,Weekend,Winter,1,8
46,2023-01-08 16:00:00,2023,1,8,16,Sunday,Site_C,Solar,26.35,26.35,26.13,77.15,0.0,Weekend,Winter,1,8
47,2023-01-08 18:15:00,2023,1,8,18,Sunday,Site_C,Wind,14.17,14.17,11.07,39.585,4.83,Weekend,Winter,1,8
48,2023-01-09 08:00:00,2023,1,9,8,Monday,Site_A,Solar,74.83,74.83,22.23,2.02,0.0,Weekday,Winter,1,9
49,2023-01-09 11:30:00,2023,1,9,11,Monday,Site_C,Wind,36.08,36.08,18.5,16.99,7.83,Weekday,Winter,1,9
50,2023-01-09 11:45:00,2023,1,9,11,Monday,Site_B,Wind,45.63,45.63,13.09,31.96,7.1,Weekday,Winter,1,9
51,2023-01-09 13:30:00,2023,1,9,13,Monday,Site_C,Solar,48.42,48.42,23.3,46.93,0.0,Weekday,Winter,1,9
52,2023-01-09 14:15:00,2023,1,9,14,Monday,Site_A,Wind,60.17,60.17,19.87,57.005,10.08,Weekday,Winter,1,9
53,2023-01-09 18:15:00,2023,1,9,18,Monday,Site_B,Solar,43.56,43.56,30.87,67.08,0.0,Weekday,Winter,1,9
54,2023-01-10 07:45:00,2023,1,10,7,Tuesday,Site_C,Solar,15.78,15.78,15.32,85.43,0.0,Weekday,Winter,1,10
55,2023-01-10 09:00:00,2023,1,10,9,Tuesday,Site_A,Solar,51.83,51.83,18.22,34.68,0.0,Weekday,Winter,1,10
56,2023-01-10 09:45:00,2023,1,10,9,Tuesday,Site_A,Wind,14.14,14.14,16.56,47.57,7.6,Weekday,Winter,1,10
57,2023-01-10 12:00:00,2023,1,10,12,Tuesday,Site_C,Wind,41.72,41.72,9.67,60.46,11.69,Weekday,Winter,1,10
58,2023-01-10 13:15:00,2023,1,10,13,Tuesday,Site_B,Wind,45.84,45.84,19.76,73.35,9.34,Weekday,Winter,1,10
59,2023-01-10 17:00:00,2023,1,10,17,Tuesday,Site_B,Solar,29.92,29.92,27.76,86.24,0.0,Weekday,Winter,1,10
60,2023-01-11 06:15:00,2023,1,11,6,Wednesday,Site_A,Solar,78.91,78.91,20.61,2.23,0.0,Weekday,Winter,1,11
61,2023-01-11 08:15:00,2023,1,11,8,Wednesday,Site_C,Wind,41.4,41.4,11.52,19.505000000000003,7.38,Weekday,Winter,1,11
62,2023-01-11 09:45:00,2023,1,11,9,Wednesday,Site_C,Solar,54.36,54.36,22.53,36.78,0.0,Weekday,Winter,1,11
63,2023-01-11 13:30:00,2023,1,11,13,Wednesday,Site_A,Wind,51.09,51.09,15.7,48.865,10.92,Weekday,Winter,1,11
64,2023-01-11 15:30:00,2023,1,11,15,Wednesday,Site_B,Solar,45.36,45.36,27.4,60.95,0.0,Weekday,Winter,1,11
65,2023-01-11 18:00:00,2023,1,11,18,Wednesday,Site_B,Wind,16.09,16.09,25.48,51.260000000000005,3.34,Weekday,Winter,1,11
66,2023-01-12 07:30:00,2023,1,12,7,Thursday,Site_A,Solar,66.77,66.77,30.75,41.57,0.0,Weekday,Winter,1,12
67,2023-01-12 08:30:00,2023,1,12,8,Thursday,Site_B,Solar,25.86,25.86,31.34,83.2,0.0,Weekday,Winter,1,12
68,2023-01-12 11:45:00,2023,1,12,11,Thursday,Site_A,Wind,23.29,23.29,17.08,70.14500000000001,5.31,Weekday,Winter,1,12
69,2023-01-12 14:00:00,2023,1,12,14,Thursday,Site_C,Wind,50.42,50.42,5.67,57.09,8.01,Weekday,Winter,1,12
70,2023-01-12 15:30:00,2023,1,12,15,Thursday,Site_B,Wind,38.34,38.34,17.02,44.035,9.88,Weekday,Winter,1,12
71,2023-01-12 17:45:00,2023,1,12,17,Thursday,Site_C,Solar,59.64,59.64,19.21,30.98,0.0,Weekday,Winter,1,12
72,2023-01-13 06:00:00,2023,1,13,6,Friday,Site_B,Solar,76.71,76.71,30.94,17.96,0.0,Weekday,Winter,1,13
73,2023-01-13 10:00:00,2023,1,13,10,Friday,Site_A,Solar,2.16,2.16,17.24,94.3,0.0,Weekday,Winter,1,13
74,2023-01-13 13:30:00,2023,1,13,13,Friday,Site_C,Wind,32.5,32.5,23.14,87.29249999999999,5.92,Weekday,Winter,1,13
75,2023-01-13 15:00:00,2023,1,13,15,Friday,Site_A,Wind,37.91,37.91,19.63,80.285,9.21,Weekday,Winter,1,13
76,2023-01-13 18:15:00,2023,1,13,18,Friday,Site_B,Wind,19.73,19.73,27.95,73.2775,7.21,Weekday,Winter,1,13
77,2023-01-13 18:30:00,2023,1,13,18,Friday,Site_C,Solar,42.35,42.35,29.22,66.27,0.0,Weekday,Winter,1,13
78,2023-01-14 07:15:00,2023,1,14,7,Saturday,Site_A,Solar,37.45,37.45,22.1,67.21,0.0,Weekend,Winter,1,14
79,2023-01-14 09:00:00,2023,1,14,9,Saturday,Site_A,Wind,28.1,28.1,6.91,49.845,6.26,Weekend,Winter,1,14
80,2023-01-14 10:15:00,2023,1,14,10,Saturday,Site_C,Solar,53.95,53.95,25.54,32.48,0.0,Weekend,Winter,1,14
81,2023-01-14 12:45:00,2023,1,14,12,Saturday,Site_C,Wind,25.85,25.85,17.71,30.06,5.47,Weekend,Winter,1,14
82,2023-01-14 13:30:00,2023,1,14,13,Saturday,Site_B,Wind,16.48,16.48,17.92,27.64,4.93,Weekend,Winter,1,14
83,2023-01-14 14:15:00,2023,1,14,14,Saturday,Site_B,Solar,69.81,69.81,29.25,25.22,0.0,Weekend,Winter,1,14
84,2023-01-15 08:00:00,2023,1,15,8,Sunday,Site_C,Wind,30.44,30.44,18.6,39.785,5.82,Weekend,Winter,1,15
85,2023-01-15 09:15:00,2023,1,15,9,Sunday,Site_A,Wind,25.38,25.38,23.99,54.35,5.05,Weekend,Winter,1,15
86,2023-01-15 11:00:00,2023,1,15,11,Sunday,Site_B,Wind,32.41,32.41,18.81,68.915,5.93,Weekend,Winter,1,15
87,2023-01-15 14:30:00,2023,1,15,14,Sunday,Site_A,Solar,30.23,30.23,26.62,83.48,0.0,Weekend,Winter,1,15
88,2023-01-15 14:30:00,2023,1,15,14,Sunday,Site_B,Solar,43.69,43.69,31.47,76.18,0.0,Weekend,Winter,1,15
89,2023-01-15 17:30:00,2023,1,15,17,Sunday,Site_C,Solar,69.49,69.49,29.23,32.91,0.0,Weekend,Winter,1,15
90,2023-01-16 07:00:00,2023,1,16,7,Monday,Site_A,Solar,54.61,54.61,22.69,53.4,0.0,Weekday,Winter,1,16
91,2023-01-16 12:30:00,2023,1,16,12,Monday,Site_A,Wind,40.03,40.03,20.3,42.556666666666665,8.79,Weekday,Winter,1,16
92,2023-01-16 13:00:00,2023,1,16,13,Monday,Site_C,Wind,46.62,46.62,17.0,31.71333333333333,8.79,Weekday,Winter,1,16
93,2023-01-16 14:30:00,2023,1,16,14,Monday,Site_C,Solar,68.11,68.11,19.03,20.87,0.0,Weekday,Winter,1,16
94,2023-01-16 16:15:00,2023,1,16,16,Monday,Site_B,Solar,77.1,77.1,18.03,6.17,0.0,Weekday,Winter,1,16
95,2023-01-16 16:30:00,2023,1,16,16,Monday,Site_B,Wind,45.53,45.53,22.38,6.98,8.71,Weekday,Winter,1,16
96,2023-01-17 06:45:00,2023,1,17,6,Tuesday,Site_A,Wind,54.78,54.78,18.87,7.79,10.35,Weekday,Winter,1,17
97,2023-01-17 10:00:00,2023,1,17,10,Tuesday,Site_B,Solar,81.33,81.33,24.83,8.6,0.0,Weekday,Winter,1,17
98,2023-01-17 10:30:00,2023,1,17,10,Tuesday,Site_C,Wind,33.75,33.75,10.95,46.465,6.44,Weekday,Winter,1,17
99,2023-01-17 11:30:00,2023,1,17,11,Tuesday,Site_C,Solar,35.39,35.39,27.1,84.33,0.0,Weekday,Winter,1,17
100,2023-01-17 12:00:00,2023,1,17,12,Tuesday,Site_A,Solar,46.55,46.55,20.77,48.58,0.0,Weekday,Winter,1,17
101,2023-01-17 15:30:00,2023,1,17,15,Tuesday,Site_B,Wind,44.27,44.27,3.84,57.736,7.84,Weekday,Winter,1,17
102,2023-01-18 06:30:00,2023,1,18,6,Wednesday,Site_A,Wind,63.42,63.42,15.01,66.892,12.42,Weekday,Winter,1,18
103,2023-01-18 08:45:00,2023,1,18,8,Wednesday,Site_C,Wind,34.28,34.28,11.79,76.048,8.3,Weekday,Winter,1,18
104,2023-01-18 10:30:00,2023,1,18,10,Wednesday,Site_B,Wind,45.27,45.27,8.3,85.20400000000001,9.81,Weekday,Winter,1,18
105,2023-01-18 12:30:00,2023,1,18,12,Wednesday,Site_B,Solar,18.7,18.7,26.98,94.36,0.0,Weekday,Winter,1,18
106,2023-01-18 18:15:00,2023,1,18,18,Wednesday,Site_C,Solar,31.9,31.9,22.05,69.35,0.0,Weekday,Winter,1,18
107,2023-01-18 18:30:00,2023,1,18,18,Wednesday,Site_A,Solar,33.66,33.66,29.41,71.8,0.0,Weekday,Winter,1,18
108,2023-01-19 06:30:00,2023,1,19,6,Thursday,Site_C,Wind,42.93,42.93,6.64,65.91,7.6,Weekday,Winter,1,19
109,2023-01-19 07:15:00,2023,1,19,7,Thursday,Site_C,Solar,33.03,33.03,14.15,60.02,0.0,Weekday,Winter,1,19
110,2023-01-19 09:15:00,2023,1,19,9,Thursday,Site_B,Solar,39.71,39.71,20.97,55.45,0.0,Weekday,Winter,1,19
111,2023-01-19 10:45:00,2023,1,19,10,Thursday,Site_A,Solar,11.45,11.45,29.28,94.04,0.0,Weekday,Winter,1,19
112,2023-01-19 14:00:00,2023,1,19,14,Thursday,Site_A,Wind,52.65,52.65,26.74,63.72,8.17,Weekday,Winter,1,19
113,2023-01-19 14:45:00,2023,1,19,14,Thursday,Site_B,Wind,29.18,29.18,22.54,33.4,8.58,Weekday,Winter,1,19
114,2023-01-20 09:00:00,2023,1,20,9,Friday,Site_C,Solar,74.72,74.72,23.93,3.08,0.0,Weekday,Winter,1,20
115,2023-01-20 09:00:00,2023,1,20,9,Friday,Site_C,Wind,19.72,19.72,17.66,50.39,6.55,Weekday,Winter,1,20
116,2023-01-20 09:45:00,2023,1,20,9,Friday,Site_A,Solar,10.93,10.93,20.21,97.7,0.0,Weekday,Winter,1,20
117,2023-01-20 11:00:00,2023,1,20,11,Friday,Site_B,Wind,63.25,63.25,17.89,86.53666666666666,9.0,Weekday,Winter,1,20
118,2023-01-20 13:45:00,2023,1,20,13,Friday,Site_A,Wind,30.99,30.99,5.53,75.37333333333333,8.26,Weekday,Winter,1,20
119,2023-01-20 17:45:00,2023,1,20,17,Friday,Site_B,Solar,25.05,25.05,17.08,64.21,0.0,Weekday,Winter,1,20
120,2023-01-21 07:00:00,2023,1,21,7,Saturday,Site_A,Solar,36.24,36.24,28.45,72.38,0.0,Weekend,Winter,1,21
121,2023-01-21 11:15:00,2023,1,21,11,Saturday,Site_C,Solar,22.24,22.24,19.07,79.56,0.0,Weekend,Winter,1,21
122,2023-01-21 12:15:00,2023,1,21,12,Saturday,Site_B,Wind,17.54,17.54,14.51,85.055,3.85,Weekend,Winter,1,21
123,2023-01-21 14:30:00,2023,1,21,14,Saturday,Site_B,Solar,33.2,33.2,28.29,90.55,0.0,Weekend,Winter,1,21
124,2023-01-21 15:45:00,2023,1,21,15,Saturday,Site_A,Wind,30.22,30.22,16.86,84.695,4.73,Weekend,Winter,1,21
125,2023-01-21 15:45:00,2023,1,21,15,Saturday,Site_C,Wind,38.63,38.63,22.4,78.84,9.78,Weekend,Winter,1,21
126,2023-01-22 06:45:00,2023,1,22,6,Sunday,Site_B,Wind,48.12,48.12,8.61,72.985,8.93,Weekend,Winter,1,22
127,2023-01-22 10:15:00,2023,1,22,10,Sunday,Site_B,Solar,36.93,36.93,24.11,67.13,0.0,Weekend,Winter,1,22
128,2023-01-22 10:15:00,2023,1,22,10,Sunday,Site_C,Solar,15.11,15.11,22.91,99.02,0.0,Weekend,Winter,1,22
129,2023-01-22 15:45:00,2023,1,22,15,Sunday,Site_C,Wind,27.33,27.33,17.41,78.7,5.69,Weekend,Winter,1,22
130,2023-01-22 16:15:00,2023,1,22,16,Sunday,Site_A,Solar,46.63,46.63,22.05,58.38,0.0,Weekend,Winter,1,22
131,2023-01-22 18:00:00,2023,1,22,18,Sunday,Site_A,Wind,23.59,23.59,8.45,61.16,4.83,Weekend,Winter,1,22
132,2023-01-23 08:00:00,2023,1,23,8,Monday,Site_B,Wind,36.06,36.06,22.52,63.94,6.56,Weekday,Winter,1,23
133,2023-01-23 09:00:00,2023,1,23,9,Monday,Site_B,Solar,36.91,36.91,22.56,66.72,0.0,Weekday,Winter,1,23
134,2023-01-23 12:15:00,2023,1,23,12,Monday,Site_A,Wind,15.77,15.77,8.72,37.895,5.72,Weekday,Winter,1,23
135,2023-01-23 16:15:00,2023,1,23,16,Monday,Site_A,Solar,87.0,87.0,26.74,9.07,0.0,Weekday,Winter,1,23
136,2023-01-23 17:15:00,2023,1,23,17,Monday,Site_C,Wind,46.88,46.88,29.53,18.705,8.39,Weekday,Winter,1,23
137,2023-01-23 17:45:00,2023,1,23,17,Monday,Site_C,Solar,65.58,65.58,27.48,28.34,0.0,Weekday,Winter,1,23
138,2023-01-24 07:30:00,2023,1,24,7,Tuesday,Site_A,Wind,35.98,35.98,23.01,24.01,5.42,Weekday,Winter,1,24
139,2023-01-24 07:30:00,2023,1,24,7,Tuesday,Site_C,Wind,38.17,38.17,11.14,19.68,7.95,Weekday,Winter,1,24
140,2023-01-24 12:00:00,2023,1,24,12,Tuesday,Site_C,Solar,76.68,76.68,24.73,15.35,0.0,Weekday,Winter,1,24
141,2023-01-24 15:00:00,2023,1,24,15,Tuesday,Site_B,Wind,32.11,32.11,20.35,39.68,6.77,Weekday,Winter,1,24
142,2023-01-24 15:15:00,2023,1,24,15,Tuesday,Site_A,Solar,49.41,49.41,30.9,64.01,0.0,Weekday,Winter,1,24
143,2023-01-24 17:30:00,2023,1,24,17,Tuesday,Site_B,Solar,34.97,34.97,18.06,60.76,0.0,Weekday,Winter,1,24
144,2023-01-25 08:00:00,2023,1,25,8,Wednesday,Site_A,Solar,63.76,63.76,25.84,20.67,0.0,Weekday,Winter,1,25
145,2023-01-25 08:45:00,2023,1,25,8,Wednesday,Site_B,Wind,57.51,57.51,8.85,41.415,10.86,Weekday,Winter,1,25
146,2023-01-25 09:15:00,2023,1,25,9,Wednesday,Site_B,Solar,34.82,34.82,27.5,62.16,0.0,Weekday,Winter,1,25
147,2023-01-25 10:30:00,2023,1,25,10,Wednesday,Site_C,Wind,27.02,27.02,10.54,45.71333333333333,4.55,Weekday,Winter,1,25
148,2023-01-25 11:45:00,2023,1,25,11,Wednesday,Site_A,Wind,34.8,34.8,21.62,29.266666666666666,5.58,Weekday,Winter,1,25
149,2023-01-25 12:15:00,2023,1,25,12,Wednesday,Site_C,Solar,92.43,92.43,28.71,12.82,0.0,Weekday,Winter,1,25
150,2023-01-26 06:30:00,2023,1,26,6,Thursday,Site_C,Solar,60.68,60.68,19.8,32.71,0.0,Weekday,Winter,1,26
151,2023-01-26 10:00:00,2023,1,26,10,Thursday,Site_A,Solar,64.05,64.05,26.08,26.52,0.0,Weekday,Winter,1,26
152,2023-01-26 11:00:00,2023,1,26,11,Thursday,Site_A,Wind,34.19,34.19,12.88,55.02,7.56,Weekday,Winter,1,26
153,2023-01-26 14:45:00,2023,1,26,14,Thursday,Site_B,Solar,27.3,27.3,23.91,83.52,0.0,Weekday,Winter,1,26
154,2023-01-26 17:15:00,2023,1,26,17,Thursday,Site_B,Wind,52.58,52.58,20.36,71.95,10.55,Weekday,Winter,1,26
155,2023-01-26 18:15:00,2023,1,26,18,Thursday,Site_C,Wind,38.35,38.35,28.62,60.38,5.35,Weekday,Winter,1,26
156,2023-01-27 08:15:00,2023,1,27,8,Friday,Site_A,Solar,48.3,48.3,15.89,48.81,0.0,Weekday,Winter,1,27
157,2023-01-27 11:15:00,2023,1,27,11,Friday,Site_B,Wind,45.29,45.29,19.09,35.760000000000005,8.27,Weekday,Winter,1,27
158,2023-01-27 12:30:00,2023,1,27,12,Friday,Site_C,Solar,76.19,76.19,24.5,22.71,0.0,Weekday,Winter,1,27
159,2023-01-27 13:15:00,2023,1,27,13,Friday,Site_B,Solar,21.05,21.05,26.85,94.11,0.0,Weekday,Winter,1,27
160,2023-01-27 14:15:00,2023,1,27,14,Friday,Site_A,Wind,29.65,29.65,10.82,89.465,7.78,Weekday,Winter,1,27
161,2023-01-27 18:15:00,2023,1,27,18,Friday,Site_C,Wind,34.82,34.82,14.6,84.82,6.39,Weekday,Winter,1,27
162,2023-01-28 09:30:00,2023,1,28,9,Saturday,Site_B,Wind,43.58,43.58,20.88,80.175,9.12,Weekend,Winter,1,28
163,2023-01-28 12:00:00,2023,1,28,12,Saturday,Site_C,Solar,32.98,32.98,29.36,75.53,0.0,Weekend,Winter,1,28
164,2023-01-28 13:30:00,2023,1,28,13,Saturday,Site_B,Solar,58.61,58.61,31.97,60.65,0.0,Weekend,Winter,1,28
165,2023-01-28 16:45:00,2023,1,28,16,Saturday,Site_A,Solar,56.36,56.36,27.05,38.96,0.0,Weekend,Winter,1,28
166,2023-01-28 17:00:00,2023,1,28,17,Saturday,Site_C,Wind,35.09,35.09,8.24,52.1075,7.07,Weekend,Winter,1,28
167,2023-01-28 18:00:00,2023,1,28,18,Saturday,Site_A,Wind,42.73,42.73,13.38,65.255,7.85,Weekend,Winter,1,28
168,2023-01-29 06:30:00,2023,1,29,6,Sunday,Site_C,Wind,39.73,39.73,19.59,78.4025,6.83,Weekend,Winter,1,29
169,2023-01-29 07:15:00,2023,1,29,7,Sunday,Site_B,Solar,12.67,12.67,19.97,91.55,0.0,Weekend,Winter,1,29
170,2023-01-29 12:45:00,2023,1,29,12,Sunday,Site_A,Wind,54.27,54.27,12.9,90.86,9.53,Weekend,Winter,1,29
171,2023-01-29 15:00:00,2023,1,29,15,Sunday,Site_A,Solar,18.23,18.23,24.6,90.17,0.0,Weekend,Winter,1,29
172,2023-01-29 15:30:00,2023,1,29,15,Sunday,Site_C,Solar,30.42,30.42,22.31,77.66,0.0,Weekend,Winter,1,29
173,2023-01-29 17:30:00,2023,1,29,17,Sunday,Site_B,Wind,54.29,54.29,17.52,63.9525,8.79,Weekend,Winter,1,29
174,2023-01-30 07:15:00,2023,1,30,7,Monday,Site_B,Wind,24.78,24.78,16.54,50.245,6.52,Weekday,Winter,1,30
175,2023-01-30 10:00:00,2023,1,30,10,Monday,Site_A,Wind,58.06,58.06,27.03,36.5375,10.25,Weekday,Winter,1,30
176,2023-01-30 11:00:00,2023,1,30,11,Monday,Site_A,Solar,67.12,67.12,19.65,22.83,0.0,Weekday,Winter,1,30
177,2023-01-30 11:30:00,2023,1,30,11,Monday,Site_B,Solar,77.24,77.24,20.52,2.48,0.0,Weekday,Winter,1,30
178,2023-01-30 14:30:00,2023,1,30,14,Monday,Site_C,Solar,59.71,59.71,28.96,38.38,0.0,Weekday,Winter,1,30
179,2023-01-30 15:15:00,2023,1,30,15,Monday,Site_C,Wind,55.96,55.96,11.01,32.322500000000005,9.71,Weekday,Winter,1,30
180,2023-01-31 07:15:00,2023,1,31,7,Tuesday,Site_C,Wind,30.74,30.74,12.91,26.265,7.67,Weekday,Winter,1,31
181,2023-01-31 07:15:00,2023,1,31,7,Tuesday,Site_B,Wind,43.6,43.6,15.1,20.2075,7.37,Weekday,Winter,1,31
182,2023-01-31 09:30:00,2023,1,31,9,Tuesday,Site_A,Solar,70.52,70.52,29.26,14.15,0.0,Weekday,Winter,1,31
183,2023-01-31 09:45:00,2023,1,31,9,Tuesday,Site_C,Solar,40.64,40.64,22.02,66.11,0.0,Weekday,Winter,1,31
184,2023-01-31 10:00:00,2023,1,31,10,Tuesday,Site_A,Wind,16.75,16.75,6.4,68.575,6.55,Weekday,Winter,1,31
185,2023-01-31 10:30:00,2023,1,31,10,Tuesday,Site_B,Solar,43.65,43.65,32.26,71.04,0.0,Weekday,Winter,1,31
186,2023-02-01 06:00:00,2023,2,1,6,Wednesday,Site_B,Solar,20.72,20.72,21.25,83.66,0.0,Weekday,Winter,1,1
187,2023-02-01 12:45:00,2023,2,1,12,Wednesday,Site_A,Solar,80.06,80.06,29.04,4.4,0.0,Weekday,Winter,1,1
188,2023-02-01 15:15:00,2023,2,1,15,Wednesday,Site_B,Wind,13.17,13.17,13.45,11.223333333333333,3.17,Weekday,Winter,1,1
189,2023-02-01 15:15:00,2023,2,1,15,Wednesday,Site_C,Wind,55.85,55.85,27.74,18.046666666666667,8.92,Weekday,Winter,1,1
190,2023-02-01 16:00:00,2023,2,1,16,Wednesday,Site_C,Solar,62.32,62.32,19.12,24.87,0.0,Weekday,Winter,1,1
191,2023-02-01 18:00:00,2023,2,1,18,Wednesday,Site_A,Wind,37.91,37.91,10.91,34.045,8.68,Weekday,Winter,1,1
192,2023-02-02 10:15:00,2023,2,2,10,Thursday,Site_A,Solar,51.61,51.61,22.17,43.22,0.0,Weekday,Winter,1,2
